"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","FICHAS","","","FICHA 5 VIAS 1121-ORO  1121'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 5 VIAS DM-53/54","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 5 VIAS RESISTENCIA AIRE 1699-ORO 1699'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 6 VIAS HEMBRA 1011-ORO  1011'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 6 VIAS MACHO 1012-ORO  1012'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 6 VIAS UNIVERSAL 1112-ORO   1112'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","8","Si"
"ACCESORIOS","FICHAS","","","FICHA 6 VIAS UNIVERSAL 1113-ORO   1113'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","8","Si"
"ACCESORIOS","FICHAS","","","FICHA 8 VIAS HEMBRA   1013-ORO   1013'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 8 VIAS MACHO 1014-ORO  1014'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA DE ACOPLADO 7 VIAS DM-57/58","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","","","FICHA H7 1562-ORO  1562'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","1018","FICHA P/MINIRELAY 5 VIAS CON CONEXION A MASA 1018-ORO","$1.00","5.00%","$5.00","5.00%","$5.00","31","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA SENSOR 2 VIAS 1594-ORO","$1.00","5.00%","$5.00","5.00%","$5.00","6","Si"
"ACCESORIOS","LIMPIACONTACTOS","","1480200071","HE50 LIMPIACONTACTOS 148020007PHY1","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","INTERRUPTOR FIAT 147 1103-DOG","$1.00","5.00%","$5.00","5.00%","$5.00","4","Si"
